HOTEL,ANIO,MES,ESCENARIO,RN,HABITACIONES,ROOMS_REV_ALOJAMIENTO,ROOMS_REV_UPGRADES,ROOMS_REV_OTROS,ROOMS_REVENUE,FOOD_REVENUE,BEVERAGE_REVENUE,BANQUETS_REVENUE,FB_PENSION,DAY_PASS,FB_REVENUE,OTHER_DEPT_REVENUE,MISC_INCOME,OPERATING_REVENUE,AR,ROOMS_PERSONNEL,ROOMS_OTHER_EXPENSES,ROOMS_OPEX,FOOD_COST,BEVERAGE_COST,FB_COST,FB_PERSONNEL,FB_OTHER_EXPENSES,FB_OPEX,OPERATING_EXPENSES,ROOMS_PROFIT,FB_PROFIT,TOTAL_DEPT_PROFIT,UNDISTRIB_OPEX,GOP
Hotel Celeste,2025,3,BUDGET,2280,3166,1025182.05,14388.51,0.00,1039570.56,75203.38,112409.02,11960.00,41003.02,0.00,240575.42,52176.83,59892.00,1392214.81,610.68,-168058.48,-151774.80,-319833.28,-34085.91,-29481.23,-63567.13,-156428.74,-21721.77,-241717.64,-561550.92,719737.28,-1142.22,830663.90,-291027.57,539636.33
Hotel Celeste,2025,3,REAL,3007,3992,1271266.93,14884.83,0.00,1286151.76,106000.21,121368.53,8975.99,51039.40,0.00,287384.12,40808.42,73660.00,1688004.30,561.41,-206837.12,-196127.82,-402964.94,-55838.10,-33202.49,-89040.59,-216130.34,-19859.36,-325030.29,-727995.24,883186.82,-37646.18,960009.06,-366373.45,593635.61
Hotel Celeste,2025,4,BUDGET,2573,3430,1480840.11,16610.97,0.00,1497451.08,86792.88,131753.49,24720.00,47540.27,0.00,290806.64,68334.26,67053.00,1923644.97,747.64,-203164.80,-197487.49,-400652.29,-40767.92,-36261.85,-77029.77,-188025.43,-25087.91,-290143.11,-690795.40,1096798.79,663.53,1232849.57,-336833.05,896016.53
Hotel Celeste,2025,4,REAL,2400,2997,1232220.61,7960.85,0.00,1240181.46,62132.89,85262.34,6234.03,43885.00,0.00,197514.25,76586.90,57600.00,1571882.62,654.87,-173616.21,-139191.80,-312808.01,-40228.94,-21915.30,-62144.24,-157922.46,-12346.17,-232412.87,-545220.87,927373.46,-34898.62,1026661.74,-272952.83,753708.92
Hotel Celeste,2025,5,BUDGET,3266,4473,2086458.75,19853.25,0.00,2106312.00,114606.73,185085.65,107900.00,57281.84,0.00,464874.22,84284.98,84630.00,2740101.20,839.08,-249147.79,-274872.77,-524020.56,-58241.78,-62224.79,-120466.58,-253141.40,-31481.84,-405089.82,-929110.39,1582291.44,59784.39,1810990.81,-436063.39,1374927.42
Hotel Celeste,2025,5,REAL,2556,2890,1350289.76,15171.36,0.00,1365461.12,70996.55,114536.92,28484.15,42886.65,0.00,256904.26,53375.49,53760.00,1729500.87,676.61,-159597.56,-153557.43,-313154.98,-42996.33,-32496.73,-75493.06,-149395.10,-17463.28,-242351.44,-555506.42,1052306.14,14552.82,1173994.45,-273976.93,900017.52
Hotel Celeste,2025,6,BUDGET,3026,3929,1870170.41,20779.59,0.00,1890950.00,109460.51,172917.66,103840.00,53450.05,0.00,439668.21,90427.86,76818.00,2497864.07,825.60,-234783.33,-244767.01,-479550.34,-57504.00,-58993.46,-116497.45,-244102.57,-29426.17,-390026.19,-869576.53,1411399.66,49642.02,1628287.54,-396373.97,1231913.57
Hotel Celeste,2025,6,REAL,2349,2631,1256918.93,9511.54,0.00,1266430.47,75981.09,115791.24,86950.08,40551.51,0.00,319273.92,83355.36,50560.00,1719619.75,731.92,-156601.91,-145117.34,-301719.24,-41754.30,-34254.57,-76008.86,-140935.92,-20381.79,-237326.58,-539045.82,964711.23,81947.34,1180573.93,-266361.56,914212.37
Hotel Celeste,2025,7,BUDGET,3484,4301,1847422.40,23839.08,0.00,1871261.48,131457.74,208820.38,95625.00,68315.31,0.00,504218.43,70369.45,81375.00,2527224.35,725.43,-254505.14,-253589.94,-508095.09,-63477.02,-66025.51,-129502.53,-258583.23,-27666.59,-415752.34,-923847.43,1363166.39,88466.08,1603376.92,-414907.02,1188469.90
Hotel Celeste,2025,7,REAL,2630,2959,1182744.08,18815.19,0.00,1201559.27,88923.72,124900.69,50781.66,51353.87,0.00,315959.94,30147.09,82905.18,1630571.48,620.02,-171979.74,-165668.06,-337647.80,-49962.20,-32424.97,-82387.17,-162448.79,-22569.63,-267405.59,-605053.39,863911.47,48554.35,1025518.09,-306869.46,718648.64
Hotel Celeste,2025,8,BUDGET,2683,3888,1047961.63,18379.82,0.00,1066341.45,91057.94,146494.08,0.00,52383.78,0.00,289935.81,38424.37,73563.00,1468264.63,547.32,-207534.33,-164726.93,-372261.27,-38388.64,-35525.92,-73914.56,-233717.79,-22369.23,-330001.58,-702262.85,694080.18,-40065.78,766001.78,-341511.84,424489.94
Hotel Celeste,2025,8,REAL,2651,4060,1097217.34,16788.49,0.00,1114005.82,91320.80,124796.73,36681.68,51345.69,0.00,304144.91,35533.72,40513.31,1494197.75,563.54,-219843.64,-174149.98,-393993.62,-55102.17,-31991.44,-87093.61,-221802.85,-20388.41,-329284.86,-723278.49,720012.20,-25139.96,770919.26,-372949.24,397970.02
Hotel Celeste,2025,9,BUDGET,2151,2831,1328450.48,11840.57,0.00,1340291.05,81917.36,128998.13,76500.00,38527.21,0.00,325942.70,54044.13,55335.00,1775612.88,825.35,-166813.31,-174820.53,-341633.85,-42496.18,-43854.71,-86350.89,-175834.37,-20248.28,-282433.53,-624067.38,998657.20,43509.17,1151545.50,-281995.57,869549.93
Hotel Celeste,2025,9,REAL,2981,3863,1771335.45,24619.32,0.00,1795954.77,100685.84,147150.32,36923.31,56962.35,0.00,341721.81,83001.27,68826.66,2289504.52,767.98,-228351.08,-252248.94,-480600.02,-66289.09,-39894.04,-106183.13,-210079.40,-30867.98,-347130.51,-827730.53,1315354.75,-5408.70,1461773.99,-400654.17,1061119.81
Hotel Celeste,2025,10,BUDGET,3316,4198,2093479.69,15470.87,0.00,2108950.56,109236.27,166779.99,56120.00,59806.45,0.00,391942.71,85977.02,79422.00,2666292.30,804.08,-234838.33,-267795.53,-502633.86,-57664.50,-50660.24,-108324.73,-229203.93,-29814.95,-367343.60,-869977.46,1606316.70,24599.11,1796314.84,-408620.48,1387694.36
Hotel Celeste,2025,10,REAL,3510,4301,2189271.95,20249.95,0.00,2209521.90,102729.00,137627.56,30983.53,59964.98,0.00,331305.06,110148.04,74166.66,2725141.66,776.39,-237668.84,-294329.23,-531998.06,-62455.94,-38757.78,-101213.71,-218103.83,-22307.00,-341624.54,-873622.60,1677523.84,-10319.48,1851519.06,-401696.13,1449822.94
Hotel Celeste,2025,11,BUDGET,2473,3130,1211616.89,12587.41,0.00,1224204.30,82078.12,122852.79,20680.00,45899.97,0.00,271510.89,64865.44,62839.00,1623419.63,656.42,-181854.28,-166830.35,-348684.62,-39717.20,-33748.13,-73465.33,-166607.38,-22704.06,-262776.78,-611461.40,875519.68,8734.11,1011958.23,-301639.56,710318.68
Hotel Celeste,2025,11,REAL,3548,4296,1836991.53,21986.57,0.00,1858978.09,115536.94,137728.80,29461.06,60656.92,0.00,343383.72,136979.32,78797.50,2418138.63,681.65,-252558.04,-255394.82,-507952.86,-77064.72,-37352.03,-114416.74,-221577.43,-20129.64,-356123.81,-864076.68,1351025.23,-12740.09,1554061.96,-392492.24,1161569.72
Hotel Celeste,2025,12,BUDGET,2385,3613,1132594.60,19143.05,0.00,1151737.65,101248.68,175407.98,40950.00,45750.27,0.00,363356.93,74179.63,70192.46,1659466.67,695.92,-187371.21,-191474.75,-378845.96,-45783.63,-48888.64,-94672.27,-185675.74,-24231.64,-304579.65,-683425.61,772891.69,58777.28,976041.07,-335755.61,640285.45
Hotel Celeste,2025,12,REAL,2207,3613,1079538.24,13979.33,0.00,1093517.58,153402.38,122322.48,30122.30,44290.50,0.00,350137.65,103061.28,83649.68,1630366.19,738.69,-209147.06,-171360.13,-380507.19,-57041.82,-36832.71,-93874.53,-213505.99,-23370.04,-330750.56,-711257.75,713010.39,19387.10,919108.44,-365139.46,553968.98
Hotel Celeste,2026,1,BUDGET,2040,2684,880246.00,4983.79,0.00,885229.80,94145.47,101067.20,3900.00,34545.62,0.00,233658.28,51701.31,51178.79,1221768.18,598.99,-153472.43,-132300.50,-285772.93,-33126.47,-32207.07,-65333.54,-138732.71,-15744.40,-219810.65,-505583.59,599456.86,13847.63,716184.59,-263898.31,452286.28
Hotel Celeste,2026,1,REAL,1962,2581,884645.96,12012.28,0.00,896658.23,85191.86,87220.40,9823.70,36086.07,0.00,218322.03,68662.91,48347.87,1231991.05,627.93,-149967.17,-132428.09,-282395.26,-50067.31,-24865.43,-74932.73,-134670.20,-11220.08,-220823.01,-503218.27,614262.98,-2500.98,728772.78,-242099.61,486673.17
Hotel Celeste,2026,2,BUDGET,2192,2828,831920.17,9880.79,0.00,841800.96,81692.48,108722.45,6552.00,33356.72,0.00,230323.66,64477.13,59708.59,1196310.33,545.71,-175205.99,-130826.53,-306032.52,-34042.35,-30876.70,-64919.06,-161463.53,-17598.95,-243981.53,-550014.05,535768.44,-13657.87,646296.28,-298307.48,347988.80
Hotel Celeste,2026,2,REAL,2996,3978,1164849.32,28441.88,0.00,1193291.20,122790.96,127673.46,22768.22,46999.26,0.00,320231.90,66789.86,75011.62,1655324.58,552.42,-253549.59,-189305.46,-442855.05,-53300.33,-30377.86,-83678.18,-221838.32,-19625.96,-325142.46,-767997.52,750436.15,-4910.57,887327.07,-380804.68,506522.38
Hotel Celeste,2026,3,BUDGET,2267,2925,1008133.41,11994.10,0.00,1020127.50,77809.53,101202.84,8500.00,39565.02,0.00,227077.39,65640.94,55771.76,1368617.59,603.73,-171221.12,-150207.89,-321429.01,-35543.82,-29383.40,-64927.23,-150452.08,-17674.50,-233053.81,-554482.82,698698.49,-5976.42,814134.77,-289801.95,524332.81
Hotel Celeste,2026,3,REAL,3274,4232,1478698.14,16547.87,0.00,1495246.01,108491.40,130854.83,18702.67,55169.65,0.00,313218.54,132762.98,75686.00,2016913.52,615.99,-247865.75,-202300.93,-450166.68,-50775.61,-28041.88,-78817.49,-207881.40,-23350.21,-310049.10,-760215.78,1045079.33,3169.44,1256697.74,-425579.26,831118.48
Hotel Celeste,2026,4,BUDGET,2025,2531,1109775.36,7825.92,0.00,1117601.28,51871.26,79739.17,7600.00,38348.91,0.00,177559.34,59131.74,49866.51,1404158.87,693.54,-151726.11,-149200.55,-300926.66,-29032.26,-22967.04,-51999.30,-134749.86,-16475.56,-203224.72,-504151.38,816674.62,-25665.38,900007.49,-264215.77,635791.72
Hotel Celeste,2026,4,REAL,0,0,1170513.22,28447.81,0.00,1198961.03,66808.76,103649.58,25219.42,28892.27,0.00,224570.02,58865.92,1841.50,1484238.47,,0.00,-18803.72,-18803.72,-43026.18,-22376.97,-65403.15,-16992.85,-4586.58,-86982.58,-105786.30,1180157.30,137587.44,1378452.17,-88483.26,1289968.91
Hotel Celeste,2026,5,BUDGET,2572,3062,1509714.34,16827.01,0.00,1526541.35,75721.97,125329.37,55180.00,46976.43,0.00,303207.77,71470.23,58396.31,1959615.66,761.87,-186920.21,-192041.63,-378961.84,-42976.67,-41806.50,-84783.17,-179222.79,-24746.87,-288752.84,-667714.68,1147579.50,14454.94,1291900.98,-321277.29,970623.69
Hotel Celeste,2026,5,REAL,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,-596.76,-596.76,0.00,0.00,0.00,0.00,-184.04,-184.04,-780.80,-596.76,-184.04,-780.80,-5149.42,-5930.22
Hotel Celeste,2026,6,BUDGET,3468,4129,2079228.56,15612.57,0.00,2094841.12,120731.09,204940.42,146940.00,67190.14,0.00,539801.65,115968.26,81361.15,2831972.18,816.54,-257264.92,-279881.39,-537146.31,-71498.63,-76753.81,-148252.45,-252431.67,-39596.98,-440281.10,-977427.41,1557694.81,99520.55,1854544.77,-451571.37,1402973.41
Hotel Celeste,2026,6,REAL,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,-466.04,-466.04,0.00,0.00,0.00,0.00,-134.41,-134.41,-600.45,-466.04,-134.41,-600.45,-3552.27,-4152.72
Hotel Celeste,2026,7,BUDGET,2574,2994,1242805.29,18616.42,0.00,1261421.70,85972.74,146720.66,48285.00,52454.17,0.00,333432.57,54479.75,57084.03,1706418.06,662.86,-185007.86,-186071.53,-371079.38,-47387.12,-46055.54,-93442.66,-175348.79,-27648.05,-296439.50,-667518.89,890342.32,36993.07,1038899.17,-308211.30,730687.86
Hotel Celeste,2026,7,REAL,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,-443.31,-443.31,0.00,0.00,0.00,0.00,-127.85,-127.85,-571.16,-443.31,-127.85,-571.16,-3026.12,-3597.27
Hotel Celeste,2026,8,BUDGET,2067,3166,848096.13,13942.95,0.00,862039.08,68956.18,109746.27,0.00,40278.12,0.00,218980.57,30173.09,60364.72,1171557.47,566.73,-170355.96,-133768.41,-304124.37,-33605.55,-28618.72,-62224.26,-178250.31,-15893.16,-256367.73,-560492.10,557914.71,-37387.16,611065.37,-290671.24,320394.13
Hotel Celeste,2026,8,REAL,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,-710.43,-710.43,0.00,0.00,0.00,0.00,-204.89,-204.89,-915.31,-710.43,-204.89,-915.31,-4817.64,-5732.95
Hotel Celeste,2026,9,BUDGET,2342,2964,1703708.52,12676.95,0.00,1716385.47,77767.50,118560.67,65415.00,42247.10,0.00,303990.27,88533.62,58396.31,2167305.67,925.57,-175366.92,-214217.86,-389584.78,-43236.17,-41593.22,-84829.39,-182850.80,-25976.40,-293656.59,-683241.37,1326800.69,10333.68,1484064.29,-322578.10,1161486.20
Hotel Celeste,2026,9,REAL,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,-574.02,-574.02,0.00,0.00,0.00,0.00,-165.55,-165.55,-739.57,-574.02,-165.55,-739.57,-3816.08,-4555.66
Hotel Celeste,2026,10,BUDGET,2214,2684,1455597.77,10348.27,0.00,1465946.04,67780.81,102652.13,37830.00,41020.32,0.00,249283.27,76594.11,51178.79,1843002.20,832.27,-159641.85,-191041.41,-350683.26,-37656.20,-33502.03,-71158.23,-142492.18,-18109.87,-231760.28,-582443.54,1115262.78,17522.98,1260558.66,-282494.54,978064.12
Hotel Celeste,2026,10,REAL,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,-721.79,-721.79,0.00,0.00,0.00,0.00,-208.17,-208.17,-929.96,-721.79,-208.17,-929.96,-3225.11,-4155.07
Hotel Celeste,2026,11,BUDGET,3496,4262,1888263.73,16881.87,0.00,1905145.60,139611.38,155515.34,14080.00,71288.12,0.00,380494.84,136319.49,85908.36,2507868.29,717.42,-256890.76,-258013.86,-514904.63,-61297.56,-49572.24,-110869.79,-226275.13,-31655.72,-368800.64,-883705.27,1390240.97,11694.19,1624163.02,-445954.37,1178208.65
Hotel Celeste,2026,11,REAL,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,-466.04,-466.04,0.00,0.00,0.00,0.00,-134.41,-134.41,-600.45,-466.04,-134.41,-600.45,-2037.06,-2637.51
Hotel Celeste,2026,12,BUDGET,2083,3062,1030756.57,10543.43,0.00,1041300.00,137979.56,149844.73,23763.00,43980.06,0.00,355567.34,93614.14,59733.16,1550214.65,744.37,-170819.18,-180831.92,-351651.10,-48607.74,-50734.66,-99342.40,-158555.68,-20861.28,-278759.36,-630410.45,689648.90,76807.99,919804.19,-309427.37,610376.82
Hotel Celeste,2026,12,REAL,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,-471.76,-471.76,0.00,0.00,0.00,0.00,0.03,0.03,-471.73,-471.76,0.03,-471.73,-1266.49,-1738.22
Hotel Cosmos,2025,1,BUDGET,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20790.91,20790.91,,-7346.38,-209.54,-7555.92,0.00,0.00,0.00,-12596.23,0.00,-12596.23,-20152.15,-7555.92,-12596.23,638.76,-193186.12,-192547.36
Hotel Cosmos,2025,1,REAL,0,0,0.00,0.00,0.00,0.00,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,17316.05,17316.05,,-27137.87,-683.00,-27820.87,0.00,0.00,0.00,-10104.96,-7504.88,-17609.84,-45430.71,-27820.87,-17609.84,-28114.66,-175465.55,-203580.21
Hotel Cosmos,2025,2,BUDGET,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13513.50,13513.50,,-27664.89,-875.15,-28540.04,0.00,0.00,0.00,-22169.66,-7227.00,-29396.66,-57936.70,-28540.04,-29396.66,-44423.20,-324872.44,-369295.65
Hotel Cosmos,2025,2,REAL,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.05,16372.50,16378.55,,-35641.13,-2793.32,-38434.45,0.00,0.00,0.00,-26026.09,-5318.51,-31344.60,-69779.05,-38434.45,-31344.60,-53400.50,-343687.64,-397088.14
Hotel Cosmos,2025,3,BUDGET,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16912.50,16912.50,,-61485.78,-35669.98,-97155.75,0.00,0.00,0.00,-35408.36,-1346.85,-36755.21,-133910.96,-97155.75,-36755.21,-116998.46,-530823.67,-647822.13
Hotel Cosmos,2025,3,REAL,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20590.23,20590.23,,-47154.72,-80977.94,-128132.66,-1428.59,-12.68,-1441.26,-35508.20,-12849.70,-49799.17,-177931.83,-128132.66,-49799.17,-157341.60,-490259.57,-647601.17
Hotel Cosmos,2025,4,BUDGET,2175,4174,946740.06,55646.82,0.00,1002386.88,137835.36,120963.44,22594.38,59827.88,0.00,341221.06,4328.69,42205.76,1390142.38,639.11,-344046.92,-219109.93,-563156.85,-57015.87,-31733.43,-88749.30,-393306.45,-87282.04,-569337.79,-1132494.64,439230.03,-228116.73,257647.74,-885967.35,-628319.61
Hotel Cosmos,2025,4,REAL,2175,5119,983506.49,39363.88,0.00,1022870.37,155288.76,169518.18,0.00,52385.91,0.00,377192.84,12018.27,54879.06,1466960.53,674.50,-386185.50,-240392.96,-626578.46,-77140.73,-40921.78,-118062.50,-370729.33,-81564.03,-570355.86,-1196934.32,396291.91,-193163.02,270026.21,-1004420.35,-734394.14
Hotel Cosmos,2025,5,BUDGET,6995,10549,2723898.14,201122.22,0.00,2925020.36,439401.10,565747.00,57223.70,175176.85,0.00,1237548.64,14989.17,40626.70,4218184.86,602.99,-467347.70,-518649.31,-985997.01,-172529.18,-104698.97,-277228.15,-607026.24,-94979.35,-979233.73,-1965230.74,1939023.35,258314.91,2252954.12,-823072.85,1429881.28
Hotel Cosmos,2025,5,REAL,10216,16210,4010229.66,285092.77,0.00,4295322.42,641570.98,795264.71,77302.40,239850.79,0.00,1753988.88,22591.45,69381.57,6141284.33,601.14,-749693.66,-695735.02,-1445428.68,-237207.01,-148003.61,-385210.61,-956013.40,-84863.87,-1426087.88,-2871516.56,2849893.74,327901.00,3269767.76,-1358380.17,1911387.59
Hotel Cosmos,2025,6,BUDGET,9328,11454,6283581.60,451978.52,0.00,6735560.12,1156271.42,1137968.31,42462.60,321804.85,0.00,2658507.18,27539.71,46351.55,9467958.57,1015.02,-620259.13,-1017476.72,-1637735.85,-337842.57,-221267.13,-559109.70,-878003.90,-155687.17,-1592800.76,-3230536.62,5097824.27,1065706.42,6237421.95,-1008001.70,5229420.24
Hotel Cosmos,2025,6,REAL,8437,11205,5519961.95,434830.57,0.00,5954792.52,819975.71,951022.63,41123.43,274658.87,0.00,2086780.64,27435.76,56855.97,8125864.88,963.17,-622030.80,-880177.10,-1502207.90,-257372.35,-169953.55,-427325.90,-840660.05,-191877.34,-1459863.29,-2962071.19,4452584.62,626917.35,5163793.70,-1200535.60,3963258.10
Hotel Cosmos,2025,7,BUDGET,11840,13766,9968826.20,804411.02,0.00,10773237.22,1784915.50,1804030.45,21594.74,315878.57,0.00,3926419.27,49476.05,58315.01,14807447.55,1250.68,-782254.57,-1545348.36,-2327602.93,-449035.34,-326003.55,-775038.89,-1050758.77,-196646.40,-2022444.05,-4350046.98,8445634.29,1903975.22,10457400.57,-1221155.22,9236245.35
Hotel Cosmos,2025,7,REAL,8234,9777,6655992.52,503063.81,0.00,7159056.34,1037629.12,965008.21,10860.19,222703.91,0.00,2236201.44,24720.86,35252.52,9455231.16,1148.34,-562578.42,-989558.73,-1552137.15,-274269.60,-199539.74,-473809.34,-721933.76,-108626.05,-1304369.14,-2856506.29,5606919.19,931832.29,6598724.87,-938047.99,5660676.88
Hotel Cosmos,2025,8,BUDGET,11161,12350,9485784.00,673398.72,3277.44,10162460.16,1621102.06,1643638.94,9302.40,306850.00,0.00,3580893.41,44092.76,59386.32,13846832.65,1240.65,-743414.43,-1459342.11,-2202756.54,-411750.86,-294253.77,-706004.63,-948774.24,-158745.91,-1813524.78,-4016281.32,7959703.62,1767368.63,9830551.33,-1063742.08,8766809.25
Hotel Cosmos,2025,8,REAL,8163,9649,6534946.55,507542.36,0.00,7042488.91,937368.55,1008605.17,15381.81,214937.72,0.00,2176293.24,36672.92,33582.52,9289037.58,1137.94,-571602.06,-982509.53,-1554111.59,-249496.85,-192744.35,-442241.20,-683424.15,-101723.70,-1227389.05,-2781500.63,5488377.32,948904.19,6507536.95,-778942.42,5728594.53
Hotel Cosmos,2025,9,BUDGET,10793,12575,6771999.50,374644.35,0.00,7146643.85,1113885.87,1140366.46,89518.11,353847.46,0.00,2697617.90,45553.98,108306.46,9998122.19,926.36,-760804.11,-1044795.52,-1805599.63,-343853.75,-225913.82,-569767.57,-919633.32,-99077.01,-1588477.89,-3394077.52,5341044.22,1109140.00,6604044.67,-1101575.80,5502468.87
Hotel Cosmos,2025,9,REAL,9770,12201,6102312.15,400647.70,0.00,6502959.84,787939.93,931919.03,169005.26,314806.67,0.00,2203670.90,34730.61,42082.13,8783443.49,899.06,-684840.91,-972160.54,-1657001.44,-235532.78,-196965.97,-432498.75,-771306.99,-99661.74,-1303467.47,-2960468.92,4845958.40,900203.43,5822974.57,-1026592.44,4796382.13
Hotel Cosmos,2025,10,BUDGET,3562,6747,2046089.66,94111.20,0.00,2140200.86,391030.30,364783.90,13500.00,77556.53,0.00,846870.72,17627.75,60765.93,3065465.26,860.64,-471290.56,-318726.19,-790016.75,-113233.62,-77974.47,-191208.08,-515363.06,-47495.75,-754066.90,-1544083.64,1350184.11,92803.83,1521381.62,-786519.87,734861.74
Hotel Cosmos,2025,10,REAL,2509,4593,1411089.61,48952.63,0.00,1460042.23,205025.35,198841.95,45242.36,52038.72,0.00,501148.37,25095.62,45397.25,2031683.48,809.79,-298880.57,-213018.26,-511898.83,-68555.87,-57645.77,-126201.64,-288246.78,-20866.51,-435314.94,-947213.77,948143.40,65833.43,1084469.71,-537315.04,547154.67
Hotel Cosmos,2025,11,BUDGET,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,148602.10,148602.10,,-5135.28,-4284.00,-9419.28,0.00,0.00,0.00,-27322.42,-2550.00,-29872.42,-39291.70,-9419.28,-29872.42,109310.40,-200806.16,-91495.76
Hotel Cosmos,2025,11,REAL,0,0,39508.65,-1018.18,0.00,38490.47,-122.18,-347.70,0.00,0.00,0.00,-469.88,1090.88,395527.19,434638.66,,-7989.79,-63541.44,-71531.23,184.46,0.00,184.46,-15869.83,832.99,-14852.38,-86383.61,-33040.76,-15322.26,348255.05,-308972.99,39282.06
Hotel Cosmos,2025,12,BUDGET,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5475516.48,5475516.48,,3400.10,-50.40,3349.70,0.00,0.00,0.00,-1896.46,0.00,-1896.46,1453.24,3349.70,-1896.46,5476969.72,-320198.31,5156771.41
Hotel Cosmos,2025,12,REAL,0,0,44884.85,0.00,0.00,44884.85,0.00,0.26,0.00,0.00,0.00,0.26,3204.36,5424125.31,5472214.79,,12066.08,-3420.34,8645.74,729.79,77.13,806.91,8720.56,-12343.33,-2815.85,5829.89,53530.59,-2815.59,5478044.68,-251297.93,5226746.75
Hotel Cosmos,2026,1,BUDGET,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21340.29,21340.29,,-7558.48,-183.05,-7741.52,0.00,0.00,0.00,-11605.40,-3166.67,-14772.07,-22513.59,-7741.52,-14772.07,-1173.30,-188974.32,-190147.62
Hotel Cosmos,2026,1,REAL,0,0,-15685.92,0.00,0.00,-15685.92,11.60,0.00,0.00,0.00,0.00,11.60,-0.93,34177.19,18501.94,,-8937.81,-499.18,-9436.99,-0.82,0.00,-0.82,-16146.76,-3323.38,-19470.97,-28907.95,-25122.91,-19459.37,-10406.02,-255529.08,-265935.10
Hotel Cosmos,2026,2,BUDGET,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23361.80,23361.80,,-35051.89,-1087.31,-36139.20,0.00,0.00,0.00,-26416.56,-7585.00,-34001.56,-70140.76,-36139.20,-34001.56,-46778.96,-489647.15,-536426.12
Hotel Cosmos,2026,2,REAL,0,0,-190.26,0.00,0.00,-190.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20649.13,20458.87,,-31477.38,215.11,-31262.27,0.00,0.00,0.00,-31609.42,-10875.37,-42484.79,-73747.06,-31452.53,-42484.79,-53288.18,-437595.28,-490883.46
Hotel Cosmos,2026,3,BUDGET,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6235.20,6235.20,,-51335.14,-36189.08,-87524.23,0.00,0.00,0.00,-33234.95,-23568.90,-56803.85,-144328.08,-87524.23,-56803.85,-138092.88,-531531.01,-669623.89
Hotel Cosmos,2026,3,REAL,0,0,-694.02,0.00,0.00,-694.02,0.00,0.00,0.00,0.00,0.00,0.00,482.30,7143.93,6932.21,,-65856.58,-79174.34,-145030.93,0.00,0.00,0.00,-41851.67,-22276.79,-64128.45,-209159.38,-145724.94,-64128.45,-202227.17,-531880.40,-734107.57
Hotel Cosmos,2026,4,BUDGET,2215,4116,937389.60,44365.83,0.00,981755.43,194207.90,196414.29,0.00,59175.90,0.00,449798.09,6915.95,48646.77,1487116.25,671.36,-390286.77,-230094.13,-620380.91,-90789.04,-43012.18,-133801.22,-475300.87,-84873.44,-693975.52,-1314356.43,361374.53,-244177.43,172759.82,-1103223.28,-930463.46
Hotel Cosmos,2026,4,REAL,0,0,-1876893.61,0.00,0.00,-1876893.61,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,-1876893.53,,0.00,-126027.31,-126027.31,-17368.66,-1744.72,-19113.38,0.00,-59399.30,-78512.68,-204539.99,-2002920.93,-78512.68,-2081433.53,-194596.16,-2276029.69
Hotel Cosmos,2026,5,BUDGET,9776,14023,4077550.48,274850.40,0.00,4352400.88,767994.97,800398.89,87051.76,234675.91,0.00,1890121.53,20591.30,39549.04,6302662.75,644.69,-673104.47,-737221.03,-1410325.50,-264080.37,-140470.87,-404551.25,-916946.22,-135708.25,-1457205.71,-2867531.22,2942075.38,432915.82,3435131.53,-1164641.30,2270490.23
